	zscore	H_statistic	H_pvalue	S0S2_pvalue	S0S3_pvalue	S0S4_pvalue	S0S1_pvalue
Slc7a11	-1.5071568489074707	200.7961600611489	2.8387852815820746e-43	1.8911343054568427e-25	1.0	8.88855738654657e-12	3.32041788569265e-14
H2-D1	-1.5326769351959229	187.9214084487186	1.7163494044836284e-40	4.838277118156197e-17	1.0	2.020055094072509e-29	7.620236147969872e-18
Txnrd1	-1.5702319145202637	161.68825022620805	7.921061313844867e-35	1.5623266644757483e-20	1.0	1.7851434631600647e-09	1.7851434631600647e-09
Slc15a3	-1.5184357166290283	146.20881315643976	1.7319164581568902e-31	8.109961769092485e-10	1.0	4.9456915734738146e-20	1.995271347948392e-09
Cxcl2	-1.5137423276901245	144.1463519563001	4.823268044618991e-31	1.4777981700444207e-11	1.0	1.4321471483256121e-21	3.6263753427898556e-08
Pla2g7	-1.5000778436660767	130.86600178383628	3.519197576246039e-28	0.0009228716557265811	1.0	2.6065159195218603e-11	0.0005620892160361756
Irf1	-1.5455318689346313	130.70879398299394	3.8047294461312504e-28	1.0938945366739246e-07	1.0	2.0397895010144592e-16	2.3606553287266622e-08
Fpr2	-1.5402038097381592	127.77607210695231	1.6304337381644553e-27	1.4271982893407937e-06	1.0	6.368113971658558e-15	2.0673413156359894e-07
Tap1	-1.5346680879592896	121.88366113667371	3.0320224576596086e-26	2.308900456338361e-09	1.0	2.499677966477585e-17	1.8593393692081323e-09
Clec4d	-1.5402662754058838	113.93587981722118	1.5601672421291636e-24	1.874556358940919e-23	1.0	6.569188920002291e-19	1.2125482199360185e-16
Taldo1	-1.5076839923858643	103.05372696137646	3.4260523427251787e-22	4.88747048840378e-16	1.0	1.7003040802845036e-09	1.5676768687135952e-09
Trem3	-1.5176829099655151	96.38724991475343	9.293131636035712e-21	1.700686166650765e-05	1.0	9.38227631817581e-12	3.5999352994599917e-06
Myl6	-1.5936541557312012	86.08627757148003	1.5169425830720818e-18	3.23698586478518e-05	1.0	7.089392524702673e-11	3.23698586478518e-05
Stx11	-1.5401657819747925	85.97281378490003	1.6044549734584163e-18	5.865870543367935e-09	1.0	2.382139660371596e-14	1.3975200795883912e-08
Riok3	-1.5300508737564087	79.10444358683259	4.776595480570621e-17	2.3958040635958236e-11	1.0	1.5655390219155652e-06	1.46076793956507e-07
Casp1	-1.5654311180114746	78.83791895574694	5.448520368860318e-17	0.00016165763713797492	1.0	1.472537201666179e-09	4.3791523588224584e-05
Nampt	-1.5556551218032837	74.87440936458387	3.8549938706024e-16	1.4623817547012603e-12	1.0	1.8808775212927702e-15	2.897978775460158e-11
Mgst1	-1.576217770576477	70.56947237295697	3.2233735932705312e-15	0.00446271523090909	1.0	2.7344954510966974e-07	0.001491161326543695
Bst1	-1.5262460708618164	70.47433059669115	3.3782006199853018e-15	1.1191596422594613e-13	1.0	3.6543074563798746e-10	5.627058396194864e-10
Pfkfb3	-1.579756498336792	67.9712420639048	1.1603499694584805e-14	6.438031772807979e-09	1.0	0.00011826540162818035	3.874999651397477e-06
Ptprj	-1.520551323890686	60.90495013536577	3.7660606916057153e-13	0.0017017633455586444	1.0	2.773182277503613e-07	0.000456651559676645
Optn	-1.6472163200378418	60.348264281306044	4.952664875045465e-13	2.7243251418676403e-08	1.0	0.00037474182501481606	0.005367357565332807
Tax1bp1	-1.5374583005905151	58.33994112751448	1.3299258128002752e-12	2.0693406077792052e-11	1.0	1.8836985947037372e-11	4.0724328222023245e-11
Kdm6b	-1.5331662893295288	57.95843643373017	1.6043240275214998e-12	2.715742950942226e-07	1.0	8.970049183649109e-11	1.8630703483916776e-06
Syne1	-1.6024200916290283	57.28562772851439	2.233257938741658e-12	2.2124613447627476e-06	1.0	0.006964758232363455	0.006964758232363455
Sra1	-1.5041784048080444	57.11704814523967	2.426201125385197e-12	0.006216171609420577	1.0	2.106524027041534e-06	0.0033926119569326198
Itgb2	-1.6253368854522705	56.92753982368254	2.6630566891773178e-12	3.793835299603316e-09	1.0	1.3926618400289336e-11	1.4447104575710004e-08
Slc6a6	-1.5348501205444336	52.78610406216572	2.036331411081262e-11	0.0006718276118988425	1.0	3.022597778361652e-07	0.00020608072466005628
Atp6v0d1	-1.5095303058624268	52.38979042495918	2.4735993031113194e-11	3.612361679234829e-07	1.0	0.0002848882755233112	1.1400083176843965e-05
Gsta4	1.7318739891052246	51.89220361774949	3.157780473772134e-11	3.523781351306112e-12	1.0	5.9886541567397896e-12	1.0151192859575247e-05
Gdap10	-1.5366482734680176	50.00949739834827	7.952057573610635e-11	1.8153877418766364e-09	1.0	2.9020350398088473e-10	3.4157927570478335e-09
Arl6ip1	-1.5341426134109497	49.19539905042016	1.18530583048806e-10	3.877869755399239e-09	1.0	8.132856594648159e-10	3.544506418506675e-09
Soat1	-1.5952969789505005	48.18756854525487	1.9424840345844396e-10	5.044327139153009e-07	1.0	0.000978507631855724	0.0018548149795843832
