	zscore	H_statistic	H_pvalue	S0S2_pvalue	S0S3_pvalue	S0S4_pvalue	S0S1_pvalue
Osm	1.7114927768707275	412.2235394597641	4.98140601238777e-89	9.016498119384279e-97	2.3208005418222074e-14	1.0	0.00026152143688952094
Amica1	1.548925757408142	408.9479384235469	2.5522056358320534e-88	1.05451716873429e-98	4.216060095201161e-07	1.0	0.007853981148719415
Lbr	1.6879422664642334	388.9163835246595	5.570073687608718e-84	1.512159499417993e-93	0.0020028473478846376	1.0	0.00021455050209667105
Sepn1	1.634438395500183	384.09763098063064	6.159512731025465e-83	3.1572480849278466e-90	6.198287180287844e-12	1.0	0.0007731300727893951
Cd177	1.612331509590149	382.53122594584636	1.345253450760807e-82	6.619493079419573e-92	0.0006860714119456872	1.0	0.0002164583108605513
Rdh12	1.7079826593399048	360.8612939600851	6.633983607254736e-78	3.643049813377515e-83	1.0217599018688978e-13	1.0	0.0026750969935497105
Fam65b	1.7271928787231445	340.8772271313438	1.4091530695434584e-73	1.98050757119001e-79	7.786528004803538e-09	1.0	1.5408582627401676e-05
Svil	1.6871711015701294	328.26350314331694	7.58323232317509e-71	6.574659586378964e-78	0.00019754333769325756	1.0	0.000780984613814451
Dhrs7	1.7289097309112549	322.0572156961549	1.6726806670829436e-69	5.716800509600948e-74	1.1999066773328134e-08	1.0	7.808690256557383e-07
Tagln2	1.66181218624115	320.7474250091073	3.213297968650512e-69	4.6039057325810093e-76	6.855940989896018e-05	1.0	0.006303028001964262
Pbx1	1.599858045578003	304.3842658085563	1.119096359476156e-65	4.6157474710768985e-71	1.473728930288863e-07	1.0	0.006320050309716332
Emb	1.7267653942108154	295.8046798552494	8.048840052367975e-64	6.869451410402992e-69	1.447238799714691e-06	1.0	0.00028466026653307643
Atp11a	1.581139087677002	290.2665806120611	1.2712764307784258e-62	1.1807390412407334e-66	3.083242362268462e-09	1.0	0.0036255883243100913
Cnn2	1.6974308490753174	282.06123453137445	7.582711211419744e-61	3.0777341575448314e-66	0.0002200315665033621	1.0	0.0021074109459056586
Cfp	1.7145901918411255	280.33943787690436	1.7880829593947543e-60	3.3894551609687146e-64	2.535500394884012e-06	1.0	2.535500394884012e-06
Pi16	1.712965965270996	279.07999042400365	3.3489014832685403e-60	5.198687925740522e-64	1.7047851923196833e-08	1.0	0.0014997717787009872
Qsox1	1.7048251628875732	278.2068955431017	5.173887050587137e-60	4.709889297184889e-64	3.320632169595644e-08	1.0	0.006178020823512295
Klra2	1.728830099105835	256.86112186269014	2.1467740636367605e-55	1.2632001058877934e-57	6.907892579181983e-09	1.0	7.709911965911518e-05
Etv6	1.666929006576538	251.86682107563462	2.582583706239443e-54	7.820382228597348e-58	5.12195115925015e-07	1.0	0.005094529633881692
B4galt3	1.7125318050384521	245.71160058280373	5.537498058410424e-53	1.291487786101134e-56	3.842907709532972e-06	1.0	0.004164167123575061
Arhgap15	1.7314879894256592	225.42556814662612	1.3483895570168282e-48	1.4005061937257235e-50	5.658790378813091e-07	1.0	0.00012730841154845552
Plscr1	1.7188358306884766	219.89207910656776	2.118596763737135e-47	2.475093487611503e-49	8.558759031747294e-08	1.0	0.0036097101191184893
Cxcl3	1.6801108121871948	213.74641687170435	4.512971046809378e-46	5.890581874326636e-48	1.2626857434719575e-07	1.0	0.007267819133220332
Fis1	1.574318289756775	210.1499811503994	2.7025154597024736e-45	6.015722682439863e-47	8.246097937543555e-08	1.0	0.006896919940654411
Atxn10	1.724697232246399	199.59558525822143	5.158751802441633e-43	7.711132027260792e-46	0.0006858700508079883	1.0	0.002125743300739169
Stfa2l1	1.7282240390777588	193.057128601081	1.3341126515330751e-41	5.760813520176194e-44	9.67089165347463e-05	1.0	0.002487086129220874
Ppp1r3b	1.7250555753707886	190.6809807995235	4.350155817052838e-41	5.038389886852511e-43	1.0243427817550839e-05	1.0	0.003590743188666524
Ngp	1.7312796115875244	187.5022485056621	2.1141963810442674e-40	9.825814984250276e-42	5.165032790632796e-06	1.0	0.0004837363927270419
Dock8	1.7071330547332764	181.10118271449406	5.10102049406641e-39	3.3865196741653743e-41	0.0008771550291875699	1.0	0.0008771550291875699
Mctp2	1.7150341272354126	175.24831884389545	9.365594908380352e-38	1.8270717436597078e-39	1.750199543786094e-05	1.0	0.009837283316651069
Vcpip1	1.7236605882644653	172.11435350948554	4.448291845249657e-37	8.391927887416902e-38	1.7920604469944817e-06	1.0	0.0010467937042456504
Ipcef1	1.7317626476287842	166.1845844561883	8.478159112208767e-36	4.3989535630669145e-37	3.777879596603417e-05	1.0	0.0016133384789499767
Ly6g	1.730735182762146	165.96711792582474	9.445889097813118e-36	4.393391793837953e-37	9.005760975192169e-05	1.0	0.0008908225924187858
Crem	1.718724250793457	151.81327574051278	1.0705179209224132e-32	5.418434911683977e-33	2.3818411234252474e-06	1.0	0.00271370178682514
Il15	1.717397689819336	137.5825488544279	1.2550867508254302e-29	5.566118578927342e-30	1.0875434411880391e-05	1.0	0.00562276403940281
Scrg1	1.7319486141204834	130.13690084244206	5.053251336856774e-28	4.9264821679764387e-29	0.0004315160796882389	1.0	0.007092036463027108
Itgal	1.7023022174835205	123.8584786480254	1.1385206010463354e-26	5.846243017726678e-27	4.530491543947548e-05	1.0	0.005928386779846294
Cmas	1.6905109882354736	121.85246019661878	3.0793064232384765e-26	1.1352641906859062e-26	0.0003508760052529725	1.0	0.0017337417991366458
Pdk3	1.7235972881317139	118.60949059419944	1.5377738753720398e-25	1.551133729391086e-26	0.002411799029208092	1.0	0.005804901852829363
Ppp1r16b	1.7210948467254639	115.90325177685558	5.883235652221203e-25	4.009057139903651e-26	0.005527617383365066	1.0	0.009284293028334127
Gng2	1.672654151916504	113.52297949495207	1.9145048354123473e-24	2.532360159687366e-24	0.00014162267196597632	1.0	0.0011847777573380542
Slc35e1	1.7249646186828613	105.96938443540442	8.083745253853801e-23	2.5494362840490846e-23	0.0006791869508802194	1.0	0.009353799038806957
