	zscore	H_statistic	H_pvalue	S0S2_pvalue	S0S3_pvalue	S0S4_pvalue	S0S1_pvalue
Cxcr2	1.5955067873001099	1254.6676607518482	1.009088600896325e-271	0.0	4.901851399930609e-40	1.0	2.352458911973286e-08
S100a11	1.6897001266479492	985.8099988900998	2.1545431029218646e-213	9.558325304359586e-280	4.379951446535982e-27	1.0	1.2924661448559991e-06
Hdc	1.6948896646499634	972.9988081749835	1.2954934797659805e-210	1.2402000321216844e-274	8.915405733045312e-28	1.0	1.6840828847937337e-07
Mmp9	1.6824063062667847	916.2972060761247	2.5823865132789123e-198	1.4674230798734197e-255	2.6215382462103035e-15	1.0	9.202368080869685e-08
Lrg1	1.7227773666381836	891.851910688736	5.180728498459676e-193	6.709541027650649e-244	1.22569910657441e-25	1.0	9.201446561770522e-13
S100a9	1.727076768875122	880.5048551546403	1.498298668720932e-190	1.1543866720840342e-240	2.2859862136465257e-24	1.0	5.6092575431801764e-09
Picalm	1.6702625751495361	853.3528617333614	1.1608949932665878e-184	1.3814969307270627e-232	1.3299548457843646e-17	1.0	1.2206449397429315e-07
Fosl2	1.5945733785629272	834.7586175313573	1.2523023380716729e-180	2.965797805486204e-225	6.512167792262006e-20	1.0	0.0019324151525035175
Il1b	1.5568357706069946	816.5231758566791	1.1290168358224172e-176	8.33664276720627e-213	4.781560733208653e-38	1.0	0.0019613173320878917
Lmnb1	1.6929404735565186	802.1316459547189	1.492552115443701e-173	7.054524123185693e-212	1.188613663576446e-27	1.0	4.5126882703443737e-08
Alox5ap	1.6177810430526733	762.5311702347503	5.782258897735897e-165	4.6590083669440584e-200	1.1862595725777934e-22	1.0	0.00027763727023851604
Pglyrp1	1.7211633920669556	749.8446898956435	3.260605026091822e-162	4.580103660013138e-198	2.4823288798200418e-12	1.0	6.21768694353942e-09
Glipr2	1.5599658489227295	695.4788212566641	2.0063096067353705e-150	9.415916805304463e-181	4.500429832218181e-13	1.0	0.0007373683005881529
Ifitm1	1.7188661098480225	679.2776481801599	6.536338315610407e-147	7.693730029102473e-174	9.891810622631587e-20	1.0	3.0298611111793534e-05
S100a8	1.7139029502868652	671.9031933682369	2.5960539612563242e-145	6.657490590177718e-171	3.0898993847342197e-21	1.0	4.250961198998468e-06
Plac8	1.6323868036270142	632.2832981114258	1.0104328955176865e-136	5.718491000718123e-158	1.6668106146125924e-22	1.0	3.4514738214292784e-05
Gda	1.6430615186691284	612.505964501864	1.959847510459024e-132	4.311798850777433e-152	6.921006520235753e-22	1.0	0.0006368863241449388
Cytip	1.5215132236480713	605.9040736608353	5.290042069727247e-131	1.0579878802671573e-153	4.0209457342959447e-10	1.0	0.004755130053116374
Tmed5	1.6947656869888306	600.5222844232113	7.765489375475491e-130	1.0037565562537093e-148	5.707086194146452e-20	1.0	1.387302013819598e-07
Retnlg	1.7303863763809204	592.8116658686231	3.645117575188617e-128	9.54843562394152e-149	1.1804782713488071e-14	1.0	0.00029376227346734516
Ifitm6	1.7224769592285156	583.9334140586462	3.064317782594262e-126	4.6045749712825674e-147	3.8152139977571715e-11	1.0	0.00021746931334160546
Entpd1	1.6099263429641724	566.3897439300172	1.9466698851428003e-122	2.9311672046344747e-137	1.7579237704522267e-23	1.0	0.001192357002660126
Pilra	1.5746989250183105	564.9855985433677	3.923390184553858e-122	9.758091104715847e-140	1.9209794914325422e-16	1.0	0.0050615374058183005
Anxa2	1.6705187559127808	529.5578184981002	1.87367964940983e-114	2.937916655692058e-131	1.4109264135587887e-10	1.0	0.007897629181422491
Anxa1	1.71220862865448	520.9382652756769	1.3831123863560466e-112	3.755296867277672e-129	1.0170566139158896e-07	1.0	3.541442606979129e-06
Rhoh	1.666550874710083	515.50402022824	2.0826698295775424e-111	2.7126728747158827e-124	1.0571370744712125e-18	1.0	0.001461704654612416
Il18rap	1.6425174474716187	500.934073320358	2.993938093257613e-108	9.248748426099927e-122	1.8682088181747032e-14	1.0	0.0001307901986785154
Rnasel	1.6991268396377563	499.6210700426609	5.764879129114461e-108	4.008951394663099e-121	2.623432135506106e-15	1.0	0.0028252243734612427
Gk	1.682176947593689	494.69311999575274	6.74119875870662e-107	8.211939787774238e-119	2.7763992125567124e-17	1.0	0.00020421428465275501
Glrx	1.6103500127792358	482.21104124901666	3.4171128342865934e-104	1.853227371209647e-114	5.591617621813773e-19	1.0	0.00564224461119801
Mmp8	1.7171680927276611	479.6864155331777	1.2043138300361604e-103	2.425682413640649e-115	3.0305211948122416e-15	1.0	0.0001297134929148149
G0s2	1.7120448350906372	478.91846389947557	1.7666551164995152e-103	1.1053920899970275e-113	1.3570980881508993e-18	1.0	0.0004047484040649745
4932438A13Rik	1.6803141832351685	462.9698496218253	5.046914744730574e-100	3.379047899141166e-111	4.607020392169929e-14	1.0	0.00272796143784172
Dapp1	1.660550594329834	447.2539271583496	1.2830058724687725e-96	7.116508632899787e-108	2.906716785966641e-11	1.0	0.005756966173432806
R3hdm4	1.7218445539474487	440.8498808777288	3.131352207429204e-95	6.063618480282032e-106	1.1296452834085646e-09	1.0	1.0577342952328687e-06
Dgat1	1.7316769361495972	432.30688174658303	2.2212152949813004e-93	3.694312249602599e-101	1.3721363076277594e-14	1.0	5.2968451592838204e-08
