	zscore	H_statistic	H_pvalue	S0S2_pvalue	S0S3_pvalue	S0S4_pvalue	S0S1_pvalue
Ppp4r2	1.5042214393615723	164.84381596700655	1.6508498824332497e-35	0.0005628716847606462	1.748777030199001e-09	4.1817666396120454e-10	1.0
Cdc42	1.503161072731018	164.71103592734335	1.7634676946983132e-35	2.989331404817896e-11	2.320550369716469e-13	7.968143937442055e-05	1.0
Dennd4a	1.512237310409546	160.05554067113752	1.782973046253471e-34	4.275498535598896e-11	5.259828322040155e-07	0.00020368333897461457	1.0
Rps24	1.5907968282699585	158.77041121509498	3.3765880752083766e-34	1.848414395957337e-12	1.707195284890795e-08	2.048940692184345e-05	1.0
Ninj1	1.5260204076766968	154.04354518139368	3.535276086538876e-33	6.61844477808686e-06	1.2850042521178119e-17	1.9758674210627938e-11	1.0
Rps27	1.619891881942749	151.47499108659903	1.266407223932834e-32	3.743343808673992e-12	9.203909570097634e-13	9.520217248173836e-06	1.0
St13	1.5772268772125244	150.1225570545499	2.479296893861919e-32	0.0013674717695321447	8.229946391184878e-08	3.763985036045876e-09	1.0
Npc2	1.6372640132904053	149.73301797910366	3.0085626803538215e-32	4.762190402891845e-08	7.720370981966201e-17	1.4289430763177254e-14	1.0
Abr	1.5148850679397583	148.20859846280513	6.414897422561744e-32	0.00173383205801355	1.707448124295161e-10	8.662806581355608e-09	1.0
Bcl2a1d	1.610590934753418	142.32202088402158	1.1933337244515285e-30	6.615088398077984e-06	3.159214633079339e-14	1.1408706304548481e-11	1.0
Rps13	1.5929486751556396	138.34534635712268	8.594446972436403e-30	2.831255930969093e-09	5.328966065323521e-08	0.0006691248593704727	1.0
Acsl5	1.577396035194397	137.3940448966478	1.3782035930452248e-29	0.0035824384984636305	4.140956969013574e-07	4.336954058806745e-08	1.0
Pabpc1	1.5456479787826538	136.9917467603112	1.682843156182986e-29	7.552945902868289e-08	8.495346903400742e-05	0.006489818052543973	1.0
Plbd1	1.5351225137710571	136.92445006519256	1.740010057558673e-29	0.0032395546723001595	4.271961498968992e-08	4.271961498968992e-08	1.0
Cox8a	1.5192750692367554	135.95157962187358	2.8202118358622273e-29	4.358544992658547e-09	2.7460075127650423e-09	0.000754030650428788	1.0
Fnip1	1.5918164253234863	135.26397285813067	3.9674226985920106e-29	0.00042345634676159183	1.800095334837351e-09	2.062069732195674e-09	1.0
Ubb	1.5887277126312256	135.23904712503742	4.016812764648554e-29	3.186989669786072e-07	3.484533572187147e-18	3.3038798141860523e-12	1.0
Fth1	1.5271469354629517	131.89224200167723	2.1148003595029846e-28	1.551719266970727e-07	5.7781078967315005e-21	2.316671170097951e-11	1.0
Pnpla7	1.6289957761764526	131.7932120511707	2.221328413182671e-28	1.908381573563922e-05	6.302460231970626e-11	5.535908073648228e-11	1.0
Dedd2	1.5320754051208496	131.46128285302024	2.6190924557478153e-28	0.005989290575183468	2.4096596566433265e-07	1.7966133539234075e-07	1.0
1810058I24Rik	1.5787652730941772	131.1688758897081	3.028097549908945e-28	5.3312829739797975e-05	9.92543805738291e-10	1.7918868818879324e-10	1.0
Btg1	1.5328255891799927	131.15878863490474	3.043293444434762e-28	1.868740955881648e-11	6.6831996368181845e-21	1.4748203672335867e-07	1.0
Atp6ap2	1.5961189270019531	128.37647174169905	1.210404262872807e-27	0.0019393272591460107	2.546233228449123e-07	3.188075481496137e-08	1.0
Bcl2a1a	1.6656728982925415	127.6004201797926	1.778899212052892e-27	7.179177872522151e-08	2.6377421470567364e-15	1.706063443738064e-13	1.0
Ralgds	1.5511642694473267	125.97463941463913	3.9851399678602694e-27	0.0009505759986977974	1.1865684620779085e-10	2.124233982778949e-08	1.0
