	stat	logfc	pval	qval
Eif1a	0.7096562539091422	9.965784284662087	1.8108651172331116e-06	0.009187380382860691
Nktr	0.6954324291285682	3.445076232631552	3.537008809571007e-06	0.009187380382860691
Tmem189	0.6558909611703194	3.0766829970112433	1.8918731826576164e-05	0.028912944146759247
Sfpq	0.6373879043866922	3.788720636614749	3.8252845226226505e-05	0.028912944146759247
Psmd8	0.6467325050437847	9.965784284662087	2.6963638180348325e-05	0.028912944146759247
Fbxo30	0.6368907095796272	2.1648843722576157	3.895873128533489e-05	0.028912944146759247
Eif5	0.6385037155709582	2.386198921297672	3.671059955904746e-05	0.028912944146759247
Rplp2	0.613319947030739	1.8706270061870467	8.948052718756532e-05	0.058106417342425234
Rpl9	0.6043786185281697	1.6343873819307126	0.00012058169558137645	0.06264219085452506
Naca	0.6066211107753425	2.798724632925347	0.00011198366775674617	0.06264219085452506
Rpl35a	0.5972835595797326	2.316168645916221	0.00015183005894647567	0.07170519602063101
Pyhin1	-0.5887966029161459	3.2104198293676713	0.00019861878105885864	0.07972057556932557
Rpl23	0.5802326668668005	1.8941911277770065	0.0002585239104260696	0.07972057556932557
Eef2	0.5814468666618212	3.788720684316382	0.00024915114804415845	0.07972057556932557
Hspa4	0.5798825193638244	9.965784284662087	0.000261284685078855	0.07972057556932557
Psap	0.5843203553658167	2.7185397788795456	0.00022816845378682442	0.07972057556932557
Hspa8	0.583853115325495	3.378676400419673	0.00023146885607328992	0.07972057556932557
Fbxl3	0.5780435235097134	9.965784284662087	0.0002762214360438615	0.07972057556932557
Plekhm2	0.5752438961587022	3.88683283454421	0.00030042669323622245	0.0821429827032724
Rlf	0.5699894250034768	9.965784284662087	0.00035101690178863574	0.09117664023959812
Rpl13a	0.56831122349246	1.5820799921880349	0.0003687029842852749	0.09121009539819062
Ankrd12	0.5651520671471261	2.577767040868729	0.0004041625188370803	0.09543746751630146
Mapre2	0.5627834152079552	2.798724632925347	0.0004327079008483817	0.09773554543075402
Ddx42	0.5577164586292547	9.965784284662087	0.0004998683113328002	0.10820066155724571
Rps11	0.556099506947825	2.242527407459401	0.0005231686140619868	0.10871443800208086
Mfsd12	0.5498656690801185	9.965784284662087	0.000622284540776921	0.11474202886232486
Rpl11	0.5476660331619129	2.6925266623749065	0.0006610381885006118	0.11474202886232486
Zfp36l2	0.5454750950391434	3.9334273162273883	0.0007017492676294289	0.11474202886232486
Safb	0.5471683422658068	9.965784284662087	0.0006700976882825206	0.11474202886232486
Eef1a1	0.5478473731739436	1.3863087966666015	0.0006577643197656714	0.11474202886232486
Scaf11	0.5435896649494419	9.965784284662087	0.0007385447762260224	0.11474202886232486
mt-Nd3	0.552739747690086	9.965784284662087	0.0005746898309737173	0.11474202886232486
