	stat	logfc	pval	qval
S100a9	0.6917943702044284	3.2440711958656396	2.2341341388187374e-149	1.757369913594819e-145
S100a8	0.6446072646503775	2.9513198084561707	1.5395968980024088e-123	6.055234599843474e-120
Dgat1	0.6244188531448497	5.023988125378863	7.918169422515605e-114	2.0761440225835916e-110
Hdc	0.620298267365282	2.170455284339363	6.221419952643266e-112	1.2234422336872984e-108
Retnlg	0.6112550886209908	4.935413880966964	7.172938574098667e-108	1.1284466964772023e-104
S100a11	0.5943799729960492	2.3750504445517544	1.2401591417041374e-100	1.6258486347741241e-97
Ifitm6	0.5871016441692244	4.3253459790056406	1.215453707668979e-97	1.365822694932027e-94
Pglyrp1	0.5788042639454444	3.7518311442900845	2.5324193819229673e-94	2.490001357275758e-91
Lmnb1	0.5754867982408243	2.2434670445270806	5.058189425817128e-93	4.42085755816417e-90
Actg1	0.5746997644614544	2.039809320307129	1.0240859228080072e-92	8.055459868807784e-90
Il1b	0.5743121697497197	1.8536452480349757	1.4484276595524673e-92	1.0357574518217917e-89
R3hdm4	0.5720152725070065	5.020179783086241	1.1194642641820542e-91	7.338088251713365e-89
Lrg1	0.5662597762381367	3.4111628836722248	1.7533980801279607e-89	1.0609407152528107e-86
Samhd1	0.5647974967227049	2.0483302771253107	6.232499275685621e-89	3.5017742358959354e-86
Ifitm1	0.5636772154667146	2.9290342992087446	1.6397135190849776e-88	8.598657694081622e-86
Entpd1	0.5621665116749472	2.3833150369666147	6.008179063180009e-88	2.953771031935872e-85
Alox5ap	0.5520001608579995	2.6097299676322785	3.1587364002584624e-84	1.461565913201945e-81
Mmp8	0.5350606774252796	4.975496465712044	2.6411040769949945e-78	1.1541624816468125e-75
Wfdc17	0.5329791511703775	2.142548196161363	1.3381420960921751e-77	5.539908277821605e-75
G0s2	0.5306646704877259	2.621104353640832	8.022965331226457e-77	3.1554322647713653e-74
Arpc3	0.5303671867774616	2.038299855550697	1.0089606385353004e-76	3.779278277485082e-74
Tpd52	0.5295032227011054	1.7289734361177054	1.9606441105308653e-76	7.010193897016267e-74
Tspo	0.5283230898980881	2.2973463832519494	4.843545417826775e-76	1.6564925328967573e-73
Slc16a3	0.5249781669764825	3.3511533853077444	6.166129223776718e-75	2.0209488530928194e-72
Fosl2	0.5227183803630692	2.411566095595289	3.3843486775874737e-74	1.0648514679161226e-71
Tmsb4x	0.5204183634802954	1.8801234062371721	1.889711784629984e-73	5.7171049607305595e-71
Csrnp1	0.5196870899497072	1.8973568246271861	3.2559309569313604e-73	9.48561218786003e-71
Mcemp1	0.5176258950478309	2.299445315818867	1.4981997100068345e-72	4.2088710424692e-70
Tmed5	0.5167306139596878	2.59177028264325	2.8978959014186605e-72	7.860292813985925e-70
Ifitm2	0.5128346205909723	1.7171827943085307	5.000360581571261e-71	1.3110945444879846e-68
Actr3	0.5096146242103797	1.9453076687322655	5.119950596832178e-70	1.2991461740219973e-67
Trem1	0.5090511099217546	1.7740643289199833	7.672857630404442e-70	1.8860843162737922e-67
Anxa1	0.5081149605769932	4.117823143774573	1.5000350107672232e-69	3.575537998392417e-67
Mrpl33	0.5067984325031538	2.8542845804587844	3.837200686546784e-69	8.877476647169707e-67
Pde4b	0.5043750494557163	2.312975388908937	2.139078684847975e-68	4.807426552861191e-66
4932438A13Rik	0.5009394572835892	3.6820073460310794	2.3871624312470364e-67	5.215949912274775e-65
Ptprc	0.4991166818628155	1.7660680156462591	8.4896664424861e-67	1.8048571955836666e-64
Wfdc21	0.4966648019361517	2.2248438927374217	4.622062073888892e-66	9.567668492950007e-64
Grina	0.4941796846051891	1.5118724716437952	2.5390742483490107e-65	5.121117445516236e-63
Sorl1	0.48816903770357883	2.3712520835522697	1.4760275559533428e-63	2.9026081887822484e-61
Plek	0.48669880899892165	1.4314534455465373	3.9387146427269346e-63	7.556568141387821e-61
Rdh12	0.48593713089634644	3.9781499341942808	6.536884350001808e-63	1.2242650546931957e-60
Gk	0.48567947222401187	2.3269788065624746	7.756606855301315e-63	1.4189178959023288e-60
Themis2	0.4818505169733033	1.893162970979506	9.691330812489458e-62	1.7325456402509563e-59
Lbr	0.47823229826678304	4.317975055051569	1.0233530391482704e-60	1.7888211124311767e-58
