	stat	logfc	pval	qval
Cyba	-0.7638229735201805	3.4831666798007976	8.084751403688392e-13	4.058545204651572e-09
Nfkbia	-0.6816222364012189	1.4804601022469899	1.4759416641689375e-09	2.7882227047936436e-06
N4bp1	-0.6800315191934491	3.0435752128275326	1.6662685486814603e-09	2.7882227047936436e-06
Mapkapk2	-0.6714575879257315	4.092103557227836	3.163200528714006e-09	3.9698166635360775e-06
Lcp2	-0.6572807436178201	3.492903739398905	8.727221157325099e-09	7.301775034962e-06
Iqgap1	-0.6589888293919711	5.509106921351295	7.744832105019564e-09	7.301775034962e-06
Cd44	-0.6483341690532817	2.622581383661191	1.6114516468279442e-08	1.1556410381537542e-05
Rnf149	-0.6434715366316113	2.299624765589412	2.2301946176485005e-08	1.399447122574434e-05
Rbms1	-0.6277513086148145	2.963603468594156	6.137092290673183e-08	3.080820329917938e-05
Tnfrsf1b	-0.6283558453834915	3.0590427953002117	5.908943020360931e-08	3.080820329917938e-05
Arpc2	-0.6257764645121251	2.998430049100508	6.941675571111059e-08	3.167928306088865e-05
Tlr2	-0.6206080602028441	2.7971734877174517	9.544037578595209e-08	3.992589053712329e-05
H3f3b	-0.6162497190375581	1.6396652945641816	1.2427836482832744e-07	4.456267081701455e-05
Ehd1	-0.6169163221072472	4.023994709771261	1.1939078300416763e-07	4.456267081701455e-05
Ptpn6	-0.6119949674633839	5.023415361363643	1.6020125479755726e-07	5.026314369273359e-05
Mcl1	-0.6127819277707066	2.4058713369256575	1.5289485250054958e-07	5.026314369273359e-05
Upp1	-0.608778333145473	9.965784284662087	1.9362381190627882e-07	5.717597269232469e-05
Slc9a3r1	-0.6050518946271942	5.023415281649487	2.4052498205814506e-07	6.707974499621602e-05
Jmjd1c	-0.5989578419623551	9.965784284662087	3.409133664131995e-07	9.007289996811902e-05
Card19	-0.5942184106723775	4.977623919582987	4.4493975782118926e-07	0.0001116798792131185
Ptafr	-0.5847764243335025	2.6000001854420494	7.469169726165155e-07	0.0001704328728424958
2810474O19Rik	-0.5855991332219116	3.2461247454276787	7.144179102846168e-07	0.0001704328728424958
Rab14	-0.5818169232025856	9.965784284662087	8.756568578819683e-07	0.00017555709018458768
Cebpb	-0.580989992764726	1.8021957635893737	9.151858639332442e-07	0.00017555709018458768
Prkcd	-0.5804934963031124	9.965784284662087	9.397168483729916e-07	0.00017555709018458768
Cd300lf	-0.5804034504491772	2.110676231156115	9.442313615505712e-07	0.00017555709018458768
AA467197	-0.5804990859072465	2.913365430856493	9.394372776917072e-07	0.00017555709018458768
Ncf1	-0.5776825337094994	3.2407220206776546	1.0906349578726265e-06	0.00019553526744716374
Txnip	-0.5758577578668699	4.855885882070616	1.2004583539803894e-06	0.00020161869488966795
Malat1	-0.5757874133889259	1.5508720101052444	1.2048925989422387e-06	0.00020161869488966795
Pim1	-0.5750150206154374	1.8741228007572601	1.2546011399888051e-06	0.0002031644426691549
Msn	-0.5740704288963028	2.59361286007776	1.3180030629964593e-06	0.00020676173050756955
Slfn2	-0.5700863358788119	2.1937213432045026	1.6199127297045436e-06	0.00024172545890602967
Klf6	-0.5698800526082642	1.6149950604464944	1.6371843830288861e-06	0.00024172545890602967
Btg1	-0.5636585546866463	2.703344280942831	2.246768200037919e-06	0.00032225075326258154
Il1rn	-0.5609514056491262	1.3333291060446542	2.5733745707526757e-06	0.00035884278736606753
Il10rb	-0.5580069554366104	1.8279965019225675	2.978700908227153e-06	0.00040413725835946777
Snx20	-0.5551217314068593	2.214545676521737	3.433096557148871e-06	0.0004419011465868547
Fcer1g	-0.5553637964557058	1.8738264125788138	3.392618970663824e-06	0.0004419011465868547
Gm12840	-0.5511892413577176	9.965784284662087	4.1572183182375135e-06	0.0005090057550622516
Lpcat2	-0.5515100938809566	9.965784284662087	4.093180123019358e-06	0.0005090057550622516
Ier3	-0.547572853759303	0.9193734117256548	4.946660034156294e-06	0.000591243651701538
Clec2d	-0.5459707618562257	0.9621042167933561	5.339285375086612e-06	0.00062333052518453
Btg2	-0.5442819643525217	1.7999444324317024	5.784487859881264e-06	0.0006599574785591805
Neat1	-0.5429465008431018	1.8350547668363255	6.1607887772711604e-06	0.000672329557867418
Lrrc25	-0.5429531477348511	3.683230559417961	6.158860624177826e-06	0.000672329557867418
Ppp1r18	-0.5421426092182324	9.965784284662087	6.398177415368732e-06	0.0006833798005351284
Syk	-0.5405902128583452	3.5592447261833553	6.880902688711046e-06	0.0007196277395276969
Samsn1	-0.538403486599253	2.0405836401554427	7.6186296425888666e-06	0.0007380361278026176
Lilr4b	-0.5395838642619678	0.9697024170425118	7.211730777703976e-06	0.0007380361278026176
Mxd1	-0.5383290413164472	1.3301000520651551	7.644995746162574e-06	0.0007380361278026176
B2m	-0.5385472468052895	0.471063178833664	7.567953903533382e-06	0.0007380361278026176
Bcl2a1b	-0.5374057101981776	2.294251262129802	7.97914998008788e-06	0.000755760998113984
Plin2	-0.5341240707602564	3.387149172834315	9.280019009704004e-06	0.0008626980634947054
Rhoa	-0.5291970038840688	2.0285601950372434	1.160783687488506e-05	0.001022304230033737
Adora2b	-0.5292748494999352	9.965784284662087	1.156717590948662e-05	0.001022304230033737
Klhl24	-0.529623800217849	4.258956434045433	1.1386530830718123e-05	0.001022304230033737
Fcgr2b	-0.5271204137171365	3.1911462992523107	1.2742814548610376e-05	0.0011029125695521396
Swt1	-0.5255972555993088	9.965784284662087	1.3639955769434889e-05	0.0011605521688570024
Lcp1	-0.52451935541956	2.8072267044369545	1.4309917024318885e-05	0.0011972630577013468
Slfn4	-0.5209844153402589	0.4091401070166331	1.6727592024873052e-05	0.0013765985568010282
2310036O22Rik	-0.5196297640855563	4.0005327334107115	1.7750650616103305e-05	0.0014372300982715901
Igsf6	-0.5181363590661129	3.9523931414007873	1.894560485459621e-05	0.001463183636462661
Znrf1	-0.5184655046044829	9.965784284662087	1.8676000888739747e-05	0.001463183636462661
Sema4d	-0.5181518216382079	2.843493813594502	1.8932859031537928e-05	0.001463183636462661
Gsap	-0.5169961323230059	3.423288003785968	1.9907736492045296e-05	0.0014696593704421675
Rnf19b	-0.5174526763376605	3.9523931414007873	1.9517187672969463e-05	0.0014696593704421675
Slfn1	-0.5172762277848917	2.5677731964750077	1.9667279621015348e-05	0.0014696593704421675
Ccdc88b	-0.5166359042371376	9.965784284662087	2.022099426916628e-05	0.0014711505975538366
Marcks	-0.5092996879181111	2.290418113580189	2.768446499000892e-05	0.00198537163214064
Calm2	-0.5079719005741485	3.350061566564805	2.9281648869312372e-05	0.0020298490550828773
Arhgef2	-0.5077813582329271	9.965784284662087	2.951772530299802e-05	0.0020298490550828773
Mefv	-0.5081962332314475	3.492903739398905	2.9005947916738187e-05	0.0020298490550828773
Cd47	-0.5064167495806673	2.2475568099514454	3.126062334143471e-05	0.002094224148300895
Rac2	-0.5063957225428696	2.3894497149084204	3.1288209386965566e-05	0.002094224148300895
Ogt	-0.5056271779158356	2.225634101256707	3.231208371102411e-05	0.0021276268854132055
Slc38a2	-0.5053895230382328	9.965784284662087	3.263491437785196e-05	0.0021276268854132055
Il6ra	-0.5049725661756398	9.965784284662087	3.320852977565757e-05	0.002137266916330782
Ube2b	-0.5045003880665214	2.6105828033947893	3.386936902118607e-05	0.0021522054745108108
Diaph1	-0.5035455271093243	3.043575258172377	3.52430805755411e-05	0.002211503306115204
Fpr2	-0.502641108379625	4.830173578559257	3.659157035096378e-05	0.0022677738661955327
Fbxl5	-0.5019105202332228	2.1344191846949987	3.7715544824686485e-05	0.002308927256340563
Pnrc1	-0.5015503814246518	2.012905745850942	3.828126868462221e-05	0.002315324925262693
Zcchc6	-0.5004648781181814	2.036987239163289	4.003423795490025e-05	0.0023925223158761813
